Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close,SP Week Change,SP Close to Open Chg Pct,Lead Mgr,Total Underwriters,Week Day,Month,Gap Open Pct,Open to Close Pct
2004-03-18,Capital Lease Funding ,LSE,Friedman Billings Ramsey/Wachovia Securities,10.5,12.95,13.41,27.71,2.45,2.91,2,,0.46,3.552123552123552,-1.7417649526194952,0.0,Friedman Billings Ramsey,2,Thurs,Mar,18.91891891891892,3.5521235521235517
2004-03-22,Signature Bank ,SBNY,Friedman Billings Ramsey,15.5,18.5,19.47,25.61,3.0,3.97,3,,0.9700000000000002,5.243243243243245,-3.07089575102875,0.0,Friedman Billings Ramsey,1,Mon,Mar,16.216216216216218,5.243243243243245
2004-03-24,Ultra Clean Holdings ,UCTT,Credit Suisse First Boston/JP Morgan,7.0,7.01,7.5,7.14,0.01,0.5,1,,0.49,6.990014265335237,-4.799410508385557,0.0,CSFB,2,Wed,Mar,0.14265335235378032,6.990014265335236
2004-03-25,Hornbeck Offshore Services ,HOS,Goldman Sachs/Jefferies,13.0,13.25,13.25,1.92,0.25,0.25,2,Missed,0.0,0.0,-5.186665116970634,0.0,Goldman Sachs,2,Thurs,Mar,1.8867924528301887,0.0
2004-03-25,Anadys Pharmaceuticals ,ANDS,SG Cowen/Piper Jaffray,7.0,7.0,7.06,0.86,0.0,0.06,1,,0.06,0.8571428571428572,-5.186665116970634,0.0,Cowen & Co.,2,Thurs,Mar,0.0,0.8571428571428572
2004-03-30,Cutera ,CUTR,Piper Jaffray,14.0,14.0,14.0,0.0,0.0,0.0,1,,0.0,0.0,-2.155681751768142,0.0,Piper Jaffray,1,Tues,Mar,0.0,0.0
2004-03-30,Marchex ,MCHX,Sanders Morris Harris/National Securities,6.5,7.52,8.88,36.62,1.02,2.38,2,,1.36,18.08510638297872,-2.155681751768142,0.0,Sanders Morris Harris,2,Tues,Mar,13.563829787234043,18.085106382978722
2004-03-31,Santarus ,SNTS,SG Cowen/UBS Investment Bank,9.0,9.0,10.1,12.22,0.0,1.1,1,,1.1,12.222222222222225,-1.1906185032064545,0.0,Cowen & Co.,2,Wed,Mar,0.0,12.222222222222223
2004-04-05,Memory Pharmaceuticals ,MEMY,UBS Investment Bank/SG Cowen,7.0,7.5,8.4,20.0,0.5,1.4,1,,0.8999999999999999,11.999999999999998,1.8954740911817956,0.0,UBS Investment Bank,2,Mon,Apr,6.666666666666667,11.999999999999998
2004-04-05,JED Oil ,JDO,Gilford Securities,5.5,10.0,11.2,103.64,4.5,5.7,2,,1.2000000000000002,12.000000000000002,1.8954740911817956,0.0,Gilford Securities,1,Mon,Apr,45.0,12.000000000000002
